delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,middlegamma,attention,mark
1920658,297166,178767,46120,86035,95335,36554,21553,56,1
458689,31376,9380,16397,7922,5282,5289,1919,57,1
902161,104880,42218,51697,54053,21368,12653,5869,56,1
3153170,1246912,22101,65110,70710,73073,23984,19491,40,0
73316,14989,10421,5205,7662,6143,8648,2149,60,1
223918,36238,2788,11357,8647,2454,4067,543,60,1
683847,196878,25976,16122,17730,4860,5212,625,41,0
1478354,117137,12501,123275,59073,19991,5167,1632,35,0
112400,10950,8530,6943,12633,3618,736,605,34,0
62523,5267,7080,5223,2487,2099,408,195,41,0
63019,48552,9276,7287,11784,5835,1150,414,56,1
193316,117199,9870,50343,24692,15514,9045,1814,57,1
161207,25405,18437,26688,28300,19981,1518,490,64,1
317504,6934,15054,9501,6476,2226,744,546,57,1
243532,20569,2845,9322,2722,3450,870,1138,60,1
50259,34941,74169,12124,42507,10281,3618,1671,60,1
49800,21162,7481,10785,22045,14745,2276,2510,64,1
650248,22909,24412,9525,5382,4268,1525,1082,63,1
242002,35733,11699,10177,4593,6804,1997,737,67,1
1816356,177014,41594,20235,27989,17848,4759,5931,63,1
302641,202896,51348,49046,6836,16790,3478,2447,44,0
241565,185030,26927,73666,19533,10075,4060,2430,41,0
757607,129524,8330,20266,21076,8599,5727,578,35,0
454870,133047,9066,46018,22195,7027,3217,2381,26,0
179739,19164,3833,7406,5389,2313,926,905,26,0
216328,88572,17406,6649,11614,8350,10065,4170,35,0
998493,96382,24873,81551,18201,8549,4130,2168,34,0
2517128,244879,41216,30791,56769,6169,5557,1860,26,0
379833,48545,5794,7263,7564,3963,453,448,24,0
450849,22766,9461,19384,10187,3342,1843,1256,23,0
152588,75259,17673,16553,32853,13894,13424,3136,34,0
275849,20893,7440,10469,1646,2278,753,488,43,0
147886,8989,18594,7702,5053,1711,547,882,40,0
196094,32549,16778,15533,6203,2589,2613,1144,35,0
97969,26449,7293,13666,13707,7552,3792,1380,38,0
66953,23151,7145,5155,4821,3147,513,281,41,0
1777889,130946,6804,18355,9399,5633,1663,623,40,0
392018,70534,16888,6498,5224,3597,665,1529,40,0
737276,34100,21592,17840,15019,5261,680,315,30,0
866969,65747,12111,8501,7357,3846,2812,965,26,0
97980,56157,6610,46173,17988,7032,2471,2399,30,0
47116,15211,3851,4223,3067,597,379,60,41,0
524228,201079,65570,23602,32482,33741,4345,3155,43,0
184633,197695,89713,25961,28369,21844,3644,1434,43,0
833561,61955,51704,22151,28243,8535,2897,3182,41,0
620229,144722,16291,9635,21089,6094,2278,2025,40,0
68867,21072,17275,4096,5618,3884,797,358,44,0
195824,346554,42596,22379,38942,22330,2821,2603,40,0
168023,52222,11052,10771,8631,5065,4548,2941,44,0
112502,58327,23985,7530,11418,11889,3364,1355,44,0
482800,87097,27897,35700,52634,14897,6562,2771,44,0
122834,28143,4070,3130,1988,1589,540,233,43,0
407870,402707,14815,31930,26700,6568,6079,533,26,0
129199,35677,4805,11047,2892,3495,739,182,23,0
298521,31131,4896,1749,2249,2048,912,596,17,0
784122,370342,114836,32857,37828,21184,5215,1613,17,0
125349,45278,112592,16161,51887,14058,9345,2673,35,0
1590409,107133,32132,142579,161447,157763,15854,4190,35,0
67440,57898,13428,7512,9648,5966,1531,1281,35,0
515128,96578,5481,7656,7043,4214,1122,554,30,0
369027,45833,27311,49678,50853,10306,3906,2368,40,0
404268,131516,38935,23770,22809,22380,7056,2300,43,0
189317,139011,22186,49578,20425,11144,2595,4330,40,0
54020,124034,28388,49911,11602,4381,4688,1400,34,0
652886,107263,30717,23298,29073,20172,4698,2039,37,0
1139906,190960,10882,13806,6305,7826,4459,1837,26,0
1350231,324487,11389,20215,29427,40272,13245,3373,66,1
144622,96643,62078,24587,11264,12254,5105,2472,57,1
497788,85138,108172,56929,45208,22377,3611,4486,64,1
454065,35650,9027,2615,8463,1296,717,278,37,0
251348,56717,9872,59917,13014,11415,3726,1748,40,0
361954,115597,36040,18613,9121,11889,3826,2383,38,0
23523,48781,10733,9014,10089,18903,4834,2077,43,0
1146371,359474,117848,12318,51497,12940,11235,3542,44,0
375849,187035,8806,27045,9408,8572,11993,2222,26,0
471325,43769,64732,9657,23250,13138,2988,3090,27,0
490347,204552,38725,20828,19776,6474,3599,1255,14,0
59682,63742,7679,55637,5256,15696,4496,1079,29,0
144427,160071,7304,33946,23704,12755,6603,1962,34,0
371183,364209,64894,56334,21028,17086,8442,3403,24,0
1021699,82551,16464,7787,12495,5063,1509,967,29,0
959313,320466,59404,16417,62338,22268,5599,3493,23,0
357994,126995,10789,14081,23839,5441,3854,3079,16,0
98022,76576,40747,58175,16763,7354,3296,2285,17,0
2221057,153684,130501,64443,23891,13863,11303,12183,17,0
74902,76213,25908,30291,33017,13418,7920,2914,23,0
1272090,136914,66104,15668,43843,9860,5256,1503,26,0
41652,52083,11597,24395,18069,11041,4423,1022,35,0
182911,27457,6919,10295,6138,2585,967,226,40,0
284292,78988,2806,26185,48431,13209,8023,1113,41,0
159739,73980,1891,28132,40339,4817,2975,408,43,0
691860,195335,82900,68242,17365,26976,4584,1888,41,0
271707,10918,4032,2272,1588,625,243,171,41,0
508319,96594,105460,90249,29202,26400,2100,3032,40,0
188198,132635,5138,18164,15882,7472,4810,2530,34,0
117415,107664,29847,59781,19196,9751,2048,3601,34,0
833992,23311,23845,9487,29773,3427,1752,1241,30,0
1901263,446413,93821,490112,520599,104840,34609,11588,30,0
921424,507280,60772,43452,21856,38951,8549,3208,30,0
664771,375694,174297,52000,37783,56739,30861,3409,37,0
207639,38151,1088,6205,13630,3905,1117,410,37,0
2118199,370214,22131,20066,19153,21895,2994,2449,38,0
1270222,181188,51660,40225,11384,18258,10120,2618,38,0
223018,244806,38154,13571,22952,18051,9983,2393,34,0
633149,429722,112060,103923,28000,38040,29488,14308,29,0
1185488,62208,14215,16291,17763,13957,9686,3770,60,1
205501,11767,12073,10386,10021,8051,3958,1656,74,1
274529,183692,79248,153210,138470,76922,14786,3850,66,1
666623,31273,4968,5771,6509,3087,681,878,64,1
1891397,115970,77416,32074,67773,27261,10078,2945,63,1
210946,98058,37714,17877,19778,17597,17935,3099,56,1
2034138,18463,29691,9271,10452,8366,4045,1712,56,1
604731,23419,4209,1656,4742,6839,3321,926,61,1
941408,821345,119999,159609,68005,186100,155759,17140,64,1
170391,39347,24283,21980,15873,16070,2904,2463,67,1
675280,153991,19280,20564,27764,27907,5680,5366,70,1
805228,114212,18223,42076,11667,14356,3567,1145,63,1
54349,26252,33439,2385,12215,4534,671,669,44,0
751610,171203,49255,20128,4673,13655,5468,3111,44,0
1256546,72192,84703,7416,20138,10593,4658,1228,35,0
844286,59371,3017,28076,14819,17525,11217,3481,43,0
720373,186177,38201,21022,22381,13617,7678,2493,41,0
263600,21451,6248,15337,24316,14513,13396,6965,61,1
1336398,1506991,270343,102171,122908,189838,148004,28066,66,1
287702,11617,471,6094,4116,2656,1938,302,69,1
185134,252165,58273,68770,66417,92481,38402,10631,75,1
322075,52838,22348,6901,4714,4414,2764,1554,56,1
164674,21234,999,2000,7527,4580,9402,2122,63,1
2553939,224016,14546,69016,63166,101240,119246,17389,70,1
973623,85628,17676,7310,32628,10295,6860,3816,61,1
1108227,442915,64635,74815,27873,149246,62595,7785,78,1
632834,54258,25037,15546,12732,4705,44943,16560,64,1
193442,69085,51663,5813,13518,30052,5432,2416,61,1
129358,16692,3136,5877,5680,1264,1353,410,63,1
61446,46138,31893,10958,5309,14398,2510,1884,57,1
166357,127890,30353,28748,75889,27611,8415,2711,61,1
1064709,160903,109874,23975,8107,57117,3262,2061,60,1
1062403,573985,99154,79865,42806,74411,173787,22713,66,1
131810,34234,7456,10407,47501,12342,3920,2909,69,1
352836,221564,33057,35379,50102,69603,4242,1509,75,1
789006,53656,11544,9078,17377,16161,2492,2081,77,1
1149543,175404,62737,38640,17127,38847,38358,14840,78,1
841368,131641,53708,76022,70332,72179,27661,28782,80,1
539460,12444,5377,6199,3077,9737,4476,1003,84,1
63370,190872,4067,29519,14595,23065,9554,2731,78,1
123511,25204,3203,11143,42907,3913,2918,439,75,1
1267200,27851,15858,11574,15334,14828,6746,5473,75,1
234937,26591,4158,12725,6339,2854,807,508,57,1
25036,6149,6550,11045,14125,3277,3585,1517,60,1
1203206,73165,90526,31444,21560,13245,2106,999,38,0
1709156,1104053,28010,69121,55082,81741,24661,47064,38,0
617601,491392,260739,192787,85310,82027,20748,13663,34,0
1849611,492061,31627,46931,60726,44724,12026,3166,38,0
1241851,344634,13138,36115,47019,11803,28090,6283,29,0
2216047,1892843,76557,99510,123029,201248,188678,53576,35,0
1965808,159321,102990,19694,55386,67513,17460,9839,44,0
1324919,61710,16369,13243,9502,4744,1418,512,41,0
195361,61502,446,16920,17957,18436,8054,1305,61,1
37711,25052,3733,2972,2534,9038,1986,3439,70,1
28798,11704,7785,373,3798,2175,472,63,57,1
618609,94889,15107,50522,133219,66848,15722,12774,63,1
784350,305424,51643,7879,74195,59904,38231,6338,67,1
1897403,649723,24808,395451,219157,432015,152670,45487,80,1
1604968,264127,61223,221796,61476,164777,73420,20807,66,1
717873,68175,68386,78101,67876,27969,17455,4152,64,1
1667667,435776,64094,81559,121811,231420,17152,18909,77,1
1056548,31978,82056,41061,48985,28179,36161,12263,70,1
738105,258463,170351,190479,100178,90987,35969,15985,74,1
2236480,274230,44030,89871,42101,81990,30288,42967,81,1
397571,898753,37995,38517,21542,79523,37619,12182,64,1
174516,9981,7925,17478,13897,5896,2075,420,64,1
129467,19744,15495,10160,6784,8277,2513,941,66,1
73719,14275,9248,3719,615,2121,544,811,57,1
769001,360372,32884,26153,47062,39808,20953,5719,60,1
1613677,794783,64757,117868,70440,27961,46152,13762,30,0
554034,204169,48206,51869,37197,35441,42867,45131,35,0
300662,67187,18215,4396,20298,9911,3537,1551,56,1
195736,76337,37437,6196,11041,20960,13000,853,75,1
550140,124963,46736,7861,22165,35290,20665,11922,80,1
1967804,187303,68154,81579,98058,128881,67263,13578,78,1
713676,55619,15276,5561,6026,1903,1481,832,63,1
2756211,581224,84523,299524,139182,231777,72793,61451,63,1
219686,32870,10011,13212,4086,12032,7182,1833,61,1
1433678,172132,45026,17612,21963,28009,11741,11732,63,1
1238937,516077,161271,160306,68000,117818,57508,15718,64,1
416005,113825,11685,3934,7539,5019,4193,2754,43,0
2034370,297232,27542,5499,16927,9850,9292,1916,29,0
769898,106326,164221,82209,48414,10169,7389,1456,17,0
1095748,478730,28699,18455,60237,12915,5652,5359,13,0
63023,7298,12397,4404,10665,4144,2588,1177,30,0
1096366,288627,100765,62576,101477,15983,18791,4579,21,0
175348,46173,2569,13551,12071,5977,2609,1428,30,0
2126508,325615,122668,70632,51862,41564,6820,8081,56,1
207239,72919,12171,10999,7236,5027,636,581,41,0
624623,31789,46753,98151,31872,23437,6410,5579,60,1
152902,10191,4353,6991,15849,21710,4571,1988,77,1
489195,691895,218438,21939,246899,69100,31226,10712,61,1
317079,75546,21149,13097,18074,9446,4604,2046,35,0
107304,4126,2352,1510,867,1841,2186,614,44,0
522255,475225,94527,29879,95459,53417,13259,8892,57,1
216439,133183,43301,9696,22692,18102,2134,2094,44,0
24912,18792,4656,1331,2952,1782,2383,369,43,0
1276434,60578,9290,48758,20079,3667,3339,2854,34,0
65262,67373,36703,42374,23969,4356,2030,3170,21,0
107267,56031,22634,11905,4322,6112,6227,2027,17,0
65730,11977,5158,9565,9046,1775,1211,615,16,0
40008,68299,22459,2196,3293,4253,1592,1119,20,0
574046,180052,217529,44385,52899,25733,7077,2831,26,0
73546,177328,65651,8871,9067,76063,9424,32058,40,0
95983,25324,2995,1093,1979,1638,1243,1213,38,0
40344,38807,27058,27873,35682,29395,5938,6133,56,1
340267,75405,6999,21371,8216,5435,11744,4167,56,1
289597,97198,12238,13319,17557,5502,4168,1996,44,0
425539,95454,71165,10005,33310,10435,3576,1238,29,0
277373,133081,19449,39381,22410,21381,8633,2424,37,0
25397,4999,1227,822,1591,1058,1423,116,40,0
353656,190087,69095,32779,23798,35520,22877,20352,60,1
324398,245692,37192,36896,75169,34167,7246,9705,60,1
384115,25250,14012,7097,4112,2492,1607,583,37,0
40802,13933,4413,4103,8527,3816,2983,1654,40,0
1648131,674741,73178,57846,37755,71276,25260,7944,37,0
1442194,160270,102220,61449,46056,161735,14937,11472,70,1
887834,907209,236522,113547,152855,70466,5653,3051,61,1
331793,140496,4524,13911,10274,9346,7860,3141,27,0
1228488,125990,13551,11724,8586,8813,14560,2548,27,0
44264,5462,1605,1793,2684,1305,1306,314,41,0
1096428,27512,4792,8579,4040,5072,7054,3584,43,0
348157,22298,12658,3794,14639,6332,9325,1905,64,1
140074,241872,46825,36304,19916,28277,31151,17258,60,1
1514243,95216,29776,3625,26354,4970,9878,3106,30,0
138828,34036,14512,17962,15128,9123,3660,1974,29,0
730858,130523,47422,22066,11250,8280,2978,1613,23,0
701026,31844,8152,8424,22874,11842,8232,3495,40,0
518465,62545,10253,18417,31147,16266,11674,3799,60,1
622765,88385,6825,21059,23871,31110,6696,10461,61,1
1387019,38796,18403,3486,7268,14308,5489,4033,67,1
80534,78386,2637,8417,7895,6892,6214,2712,66,1
156872,97230,32516,10463,30540,11384,3980,2243,60,1
1261100,115705,27078,8753,9352,3831,1335,870,29,0
246070,21780,16212,10449,2260,7163,7127,644,35,0
2394888,461592,139641,8765,41981,34626,23288,3031,30,0
181744,422951,65787,24272,23371,5976,5097,18440,11,0
99453,260610,23841,24178,40346,22688,2474,1724,21,0
346543,28411,12749,5559,3016,6570,3461,1454,21,0
101465,57317,13632,3999,3279,5073,1034,463,21,0
158924,53746,3870,5298,6079,2568,1599,840,34,0
110400,38552,6839,4333,1360,1211,709,418,40,0
1163677,112598,10032,11054,20223,3832,2309,1014,34,0
491200,98888,7597,25273,29643,8574,3310,908,41,0
289327,51953,6094,15455,7575,8629,1616,848,40,0
288962,99056,7198,45956,23725,46523,8034,2465,41,0
131943,7366,5108,2963,3211,1036,181,242,40,0
340197,25825,6735,6492,2273,5239,2203,952,34,0
111931,46749,45425,17449,13003,7779,16046,5772,35,0
368404,29608,16653,5002,8612,5657,2734,3008,44,0
83108,17782,23226,24071,21174,19947,22791,6931,60,1
683239,26955,13966,2138,2084,13028,5399,2122,69,1
363759,130006,7405,21687,18184,10989,14984,6448,63,1
521631,118107,59500,33649,26827,17951,23393,6293,63,1
230194,106899,6343,8949,3558,5871,4245,4864,44,0
60860,21562,17821,5865,1102,3640,4856,427,34,0
632647,435866,144814,17892,44228,55956,38455,23625,37,0
2911444,477137,206113,146488,225530,97305,30278,14125,38,0
228826,57008,29014,13458,3589,21956,15016,4032,63,1
1162680,82493,49440,35870,38119,39636,18879,8873,74,1
326763,48750,13311,29220,28849,10802,47244,4871,74,1
122778,59882,16161,11027,15533,9044,10514,11677,63,1
649159,108622,11825,9973,3636,3174,2978,1410,43,0
746511,71152,34932,45995,6313,27930,5016,983,40,0
39491,9385,12319,3652,8555,4881,590,548,44,0
232814,89771,18405,56447,16697,15499,5009,1592,44,0
644613,18079,9357,3907,6096,4216,686,326,63,1
1194941,161757,19400,29843,40115,66316,8538,3718,64,1
350620,8286,20656,10442,10680,23192,31748,1373,78,1
814015,950833,253567,264088,94564,153543,42702,52393,78,1
916383,524075,799773,291964,221815,858049,166446,42790,91,1
272387,8679,4838,7161,7006,4314,1163,970,91,1
869760,11412,4633,4531,11806,6307,16667,1411,90,1
2085294,789749,189730,204681,248957,124997,61797,54262,74,1
270091,181406,8731,13918,20576,25929,9847,2899,75,1
725088,111705,63448,24755,83040,89509,17154,2306,74,1
81474,20575,40740,40727,26388,15763,11708,7124,66,1
325430,57548,14451,17246,9121,3899,5735,2662,60,1
1124225,60024,10703,26265,23689,14755,46173,27787,61,1
318724,292279,37840,7497,55799,15004,18747,2552,34,0
992973,373250,167322,453627,276351,88335,15911,8644,38,0
682427,116454,57767,37964,49900,50770,16522,3704,43,0
547987,95040,19355,35881,20796,8045,5357,2450,40,0
419930,91837,14250,18618,18387,7551,2556,672,44,0
666974,1589096,200344,149554,201736,235607,55868,20288,38,0
215716,9992,3153,2041,1520,1291,1129,996,43,0
606058,199072,7984,17962,23546,16251,13698,7379,40,0
776171,276461,22839,95468,69494,41455,14369,4194,44,0
1622365,332786,47337,55728,111991,56079,61245,45498,56,1
1078639,204907,13772,20326,41452,16641,19865,2103,56,1
146180,135118,48944,31210,25202,7897,2671,369,41,0
291378,126946,30680,15882,5928,12885,5371,3428,41,0
1205329,75893,22051,15560,13600,13867,4039,2871,37,0
134821,57248,2663,64699,14017,7130,3683,908,40,0
102853,77062,60648,14800,20295,9760,4720,2118,38,0
29838,41904,11391,8767,10117,5033,4523,1332,35,0
1178156,75694,32834,14407,8647,5075,7045,5534,24,0
249816,118645,26608,16558,15337,10434,3637,4147,26,0
65858,36637,13764,1785,3564,6491,1153,560,34,0
166366,31938,7276,10519,13627,5147,3271,2629,37,0
1042628,157045,17732,71627,22214,14889,9852,1271,40,0
2412163,102108,94386,14878,43903,14178,17370,10524,43,0
713341,362672,111799,36009,18457,12078,2161,1157,29,0
824749,79974,29334,42307,16463,12563,1624,3572,34,0
209377,28188,6164,7592,1931,2740,745,956,23,0
56915,37876,18445,46470,18881,19446,13889,3597,34,0
699953,130186,101715,8623,45618,67784,36763,38931,56,1
485993,67206,6971,8595,5478,21915,9027,1575,66,1
1423776,254425,5123,61008,18389,20865,8311,3641,67,1
36683,94156,14020,44371,18699,14494,5729,3851,44,0
745361,23499,22152,13602,4124,14495,9932,7474,44,0
70670,79497,43527,51239,15980,7959,3467,2512,44,0
968910,240315,46296,37868,38150,27384,4615,2275,35,0
1117198,78612,9127,20868,10639,4027,2164,2304,24,0
196508,26308,6189,7172,2466,2822,890,338,26,0
433725,243495,37866,137348,227543,78203,48799,5135,67,1
381806,32062,15297,30130,28011,20158,7913,2371,78,1
777757,73747,62593,9833,39074,10738,8644,4314,61,1
1499053,51284,7621,16007,7036,18856,6926,599,56,1
182426,29347,25052,10751,15972,8386,1565,440,57,1
227314,294139,27474,43024,8058,9301,5128,2431,35,0
521955,44109,33798,41051,31971,14768,5291,1617,40,0
804769,328981,94089,68933,54134,39433,23502,3855,38,0
203090,79034,58254,14895,11287,14038,1367,1222,34,0
32576,7611,5246,10643,7146,6665,1455,452,63,1
63174,99070,24014,48058,11910,34325,7011,4773,70,1
1319707,383621,63141,7326,52814,38144,16191,3350,70,1
390203,325825,49859,21239,17938,20052,11062,3174,56,1
35185,17972,13948,4840,2732,2331,779,640,43,0
991782,49904,49850,15286,19392,8942,5502,2884,41,0
65144,38514,11593,5430,1664,3067,4736,1062,41,0
199560,47066,9748,46383,6175,9130,1545,1261,34,0
911954,270063,64429,47231,9401,9940,2055,1246,24,0
47566,228621,14255,24234,18834,9263,3826,4581,17,0
557769,275115,59794,32243,40158,14858,21061,10425,14,0
1511884,147609,39243,30148,47013,20377,4750,2884,14,0
1118913,982991,614838,105823,190091,106725,33041,13572,23,0
1005995,9798,5364,5146,4255,1980,970,316,23,0
41852,223500,25602,18356,35363,19450,2244,2324,29,0
625847,122077,10770,8277,15673,9107,3847,3742,35,0
1791422,22600,10755,3888,9547,5450,1293,533,38,0
1262182,366050,65094,219709,413195,41686,19798,5426,38,0
1401405,139618,37386,30168,8321,11262,3521,2088,35,0
226312,19158,6377,2898,22077,4925,1019,600,44,0
96537,21312,13443,627,1314,3348,1248,577,41,0
567296,136718,14600,15722,36716,14842,3994,1639,56,1
144753,26267,13409,15106,10728,24767,2623,940,64,1
263317,15816,4702,5416,11810,7489,2176,320,77,1
72330,13557,8647,7714,8344,5424,501,153,75,1
163864,118579,47493,33657,36458,33921,7892,5718,81,1
90667,146575,43450,28313,54454,36860,2469,1729,70,1
40736,117050,19246,28412,22506,13127,8766,2234,57,1
228789,23001,16836,15823,11345,6927,2022,1015,44,0
989659,135435,22975,18106,25834,41246,15670,10597,56,1
1743442,990408,133169,164014,192632,107921,33343,15909,56,1
34336,20165,12902,7378,8136,2900,267,453,43,0
232588,24886,4138,2923,1991,2459,970,342,41,0
65367,31474,815,6477,8132,2076,485,607,37,0
470306,19026,11394,2741,4305,3564,1057,459,37,0
339783,58648,38618,18788,13930,4850,5744,1495,29,0
120807,46916,2431,7054,14245,4224,3914,1346,30,0
414962,294330,89003,47131,39244,16462,2477,2219,27,0
99568,68250,8814,11909,1421,1644,499,828,11,0
201021,55343,23130,43710,14951,6170,1795,1512,14,0
232242,77795,6666,24117,6641,6423,3076,2596,11,0
53820,85737,34206,11350,16842,4457,4083,1673,10,0
55145,25299,15826,4564,4527,5481,2072,620,26,0
1588041,433525,81314,32816,74048,23914,13309,7951,23,0
494404,295162,66136,34205,5938,15836,2493,624,20,0
1263002,349673,20699,42290,42927,32407,8127,3409,27,0
658953,80768,3641,5986,21439,11619,2726,1250,29,0
1489479,300068,107535,38031,57679,43254,11325,7652,38,0
827170,189448,23717,23907,13715,31305,8490,3633,44,0
615240,34222,9363,13975,38310,8730,2752,732,57,1
468530,16533,4581,2840,4226,10841,1191,371,67,1
593833,14981,2550,7970,16177,6839,1511,201,75,1
832998,24274,8048,2741,4209,2334,932,661,69,1
196662,64813,15650,14702,11971,33945,5281,433,78,1
611035,62069,12125,42496,47540,37096,10569,2467,77,1
256299,9159,4124,3116,1869,4043,705,218,77,1
219977,64808,9531,32209,33956,15311,7215,1392,69,1
114158,26708,13340,6215,4827,2208,738,780,66,1
229861,53175,19946,19145,15593,14734,1793,4718,57,1
322502,85105,46942,20915,21302,7924,3460,791,41,0
144331,159163,6413,19249,9354,5183,6232,2283,23,0
262338,201836,33819,27933,47048,42582,6940,3277,34,0
944299,97171,31742,24075,18530,16105,8132,2352,38,0
309228,207015,6988,5794,14191,17691,5881,3313,38,0
94819,137221,2270,13390,6490,7657,4573,1742,41,0
198839,36391,30066,11648,14787,5472,1362,229,35,0
298575,91290,18069,10260,33802,13108,1217,372,35,0
95566,85432,19152,5796,7717,9385,1217,1559,37,0
809365,87179,49888,5125,18266,6335,7166,2343,35,0
150050,47214,15215,4900,14655,8459,665,922,40,0
503484,131082,10012,2402,5730,6572,1085,250,44,0
1533438,222262,154707,346864,111996,144742,34191,4032,57,1
1220612,481905,272353,104374,368837,208252,34326,21996,63,1
831648,352481,36177,10028,17938,15357,13403,1211,43,0
847709,74218,14777,14225,5818,17511,1790,682,56,1
250842,39799,16726,12655,5298,3795,849,326,41,0
430976,128753,71893,9934,102536,22290,34910,21285,38,0
41757,2040,1892,450,1391,1050,243,68,38,0
1615804,229462,75392,120337,136765,191450,36885,7158,57,1
314356,81926,20583,2210,20605,18250,4169,2038,61,1
2007621,348926,86637,50233,42022,32824,38259,13644,63,1
1737923,165935,45170,23195,82596,42163,59432,8299,67,1
158171,17559,3407,3509,9159,9989,2812,2203,66,1
2050764,55364,23408,19324,15941,21564,6050,5882,75,1
1251024,272971,57044,92285,47255,82550,12143,2946,84,1
30275,13785,4285,2910,2178,4342,1023,122,81,1
74921,15001,12183,35751,52005,39158,3674,725,81,1
2207937,356497,69728,35168,55284,17137,15013,3542,57,1
728147,172928,46433,129158,33343,107082,17502,1800,61,1
1813657,141540,13762,64873,85432,61912,22461,5415,61,1
263390,26554,5511,11336,18284,18683,1835,587,69,1
1220104,97830,45002,105179,115335,73314,12337,2497,74,1
293740,274794,84631,29807,81863,33882,29116,10073,61,1
1202827,144579,41600,159014,340508,122784,28277,11049,60,1
274416,23389,13826,28881,18323,17094,1718,294,77,1
1219813,244855,47535,90357,41718,74103,17608,7954,77,1
343284,531025,607830,172358,219984,193575,31488,13307,69,1
309670,45153,29207,8872,2664,66604,19616,4559,90,1
1014053,40866,44575,37024,26113,55276,3971,1630,90,1
1533858,519543,19613,28202,78503,81782,29421,13495,80,1
992284,183749,21037,22197,11264,13636,7715,1745,67,1
224898,27451,4512,5365,2780,12184,4099,1486,75,1
665306,7630,3618,7460,3227,7259,5253,517,67,1
155949,150047,40212,20515,18453,40326,3003,842,70,1
969949,55009,3902,8233,34700,12968,843,1173,70,1
362690,67863,8344,14617,14401,14760,6439,748,80,1
679354,198506,8056,16414,23351,29563,2407,1201,70,1
406684,84164,23693,3882,5695,5623,3149,2437,43,0
1212903,50006,37504,31037,23604,19046,4054,2875,43,0
1139998,101246,54175,42204,18412,18310,2507,6235,37,0
577844,181926,35029,107568,18458,62390,6878,2442,41,0
2134495,267950,103491,67327,44499,49411,10568,1558,41,0
191954,60190,20729,9896,13958,5197,1905,867,41,0
1197868,43700,12070,5918,7478,3840,724,367,41,0
500168,27702,10208,3860,4326,1417,827,1417,37,0
63057,30661,3806,2243,4689,3155,1733,958,30,0
105219,19993,2505,13225,5663,2738,757,1455,38,0
234417,461277,77660,10834,113088,55655,36519,15245,34,0
1960108,107448,51087,195432,279588,457190,41681,5911,34,0
1265552,305748,13131,75290,259971,155032,23099,22736,34,0
652762,402504,27659,167660,173528,199929,62672,6139,34,0
1117200,498548,29582,81339,61248,43895,9648,3300,40,0
545726,28665,8827,3082,3736,2020,688,552,35,0
46428,33513,685,14253,10276,4967,4760,1258,38,0
32519,17739,2497,6394,9023,1720,1441,824,34,0
1022005,106306,36586,58195,12601,16899,15601,3390,37,0
1247776,171910,71234,15431,17226,18189,11169,2053,38,0
1103614,55057,7919,35228,20376,4371,5206,1922,30,0
171583,126384,9656,21020,29537,32039,4361,3223,41,0
569220,497367,36573,45346,18471,8318,7786,1954,26,0
348904,565671,84446,25992,17381,10666,5103,2906,11,0
684724,171144,44679,24812,31992,17618,6518,1726,16,0
198771,322983,24623,41115,44421,16101,8447,1902,1,0
409548,142602,72851,23402,23143,12272,5902,5049,11,0
175779,27008,21232,4759,7554,2231,1968,758,21,0
1117052,144574,9357,53747,13737,10979,3418,7373,17,0
