delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,middlegamma,attention,mark
144815,52923,3834,11321,2434,4223,2018,780,21,0
400480,48829,11306,11097,13820,4344,3023,1429,24,0
722681,330428,31996,48731,68944,18571,12911,2907,24,0
389776,20060,5856,3095,3894,4491,1486,819,35,0
573908,185366,37069,88394,35356,16406,5181,7819,34,0
2009131,66133,22731,28494,20645,23818,7440,4087,44,0
179010,53169,19904,25144,14978,17865,2885,2091,56,1
254493,172938,22527,39231,53046,31010,3198,3472,44,0
224816,33751,2381,797,3763,957,1563,358,26,0
426393,114485,33766,10156,5859,14142,6935,3236,29,0
888278,364864,119785,70941,78182,7705,12223,4119,16,0
139431,42189,19980,12660,14573,6337,1335,1668,13,0
83892,69194,16655,15429,19721,2871,2986,2236,14,0
511886,80693,8165,51161,18000,11087,3249,2507,13,0
302303,27306,30272,6059,8339,2466,710,693,21,0
45468,112482,19005,2185,10856,6064,1266,615,14,0
886651,54103,78845,40549,14013,21898,4249,3290,27,0
542906,37449,13434,6014,4284,2265,1084,659,21,0
157908,39485,8493,4254,7829,4580,1517,1078,29,0
646840,124889,26100,30035,28720,12006,7054,1254,35,0
108230,91364,8331,22993,19986,7612,4499,709,27,0
63118,30196,164,4226,5349,4373,1614,438,38,0
242202,32995,26075,32092,10273,5955,2061,670,35,0
273609,129978,20496,28163,7973,10384,2571,2191,35,0
169619,333889,71516,27115,92001,30082,5652,1966,37,0
55799,54593,4638,7971,13979,11198,1026,1628,38,0
127865,19123,1734,1109,11297,6133,810,765,64,1
189202,83635,64036,11840,9713,4102,4310,1807,34,0
127525,34269,7258,1547,5192,4671,399,992,35,0
171179,45042,4048,2617,5056,2753,1819,408,20,0
554311,195723,14012,56369,14758,42032,9703,3503,34,0
522917,127657,24186,21972,42577,8775,4794,1388,38,0
138763,69035,26770,30400,15719,4749,5517,2301,35,0
586902,49746,24348,37883,30501,17338,3239,10656,37,0
282474,12573,5925,15921,2989,1322,1201,936,26,0
143906,159535,68923,73659,51708,25960,5918,4490,29,0
64910,84539,12001,17516,11651,14028,3792,2223,41,0
76668,434780,68178,40882,71451,52960,3463,2173,37,0
78466,14406,4950,16204,11001,5957,1847,2484,57,1
158353,67436,5998,14128,3697,11443,3984,2317,60,1
1051567,325510,163931,4192,29299,6041,3774,2932,35,0
80911,60204,43512,17129,11090,13167,4721,4599,35,0
117707,28534,10744,11276,8680,4291,980,485,27,0
259756,12758,16557,12167,7876,4106,2125,1504,26,0
120805,40214,2851,3711,1598,1429,699,201,38,0
99511,60788,2882,7430,1584,3333,844,377,30,0
44521,37068,36785,10256,20871,8995,2255,1853,30,0
124032,140448,84053,4028,15157,8310,6711,1614,21,0
313226,24289,12535,3489,4693,1723,409,390,24,0
140495,112961,65318,19615,35592,20727,4867,2056,30,0
573019,96707,79258,14925,9641,11123,2164,2174,26,0
732652,440594,24467,66318,77718,29353,43536,9846,27,0
892829,302094,15433,57356,76682,40177,15408,6815,37,0
703410,122375,37613,26225,16765,39226,16206,7048,43,0
233314,116070,56453,21965,27112,43207,6565,5624,61,1
387569,15890,9030,6376,6672,8872,863,393,69,1
162992,61209,26925,14033,60408,24284,9150,6452,69,1
103061,23022,16589,6945,2464,2462,742,424,64,1
91261,75169,21984,15033,16206,4254,1207,821,35,0
96097,128815,51740,26695,24890,6710,4384,2797,16,0
1583676,427843,13208,13763,41141,40690,11551,1718,21,0
2271652,215715,48938,37565,22117,15289,12620,3655,20,0
1279439,528064,28921,46475,52669,107651,33931,7017,35,0
519067,11486,2945,8922,8029,9566,1621,1134,61,1
281088,44276,60724,33978,30602,9738,4064,1318,64,1
307945,19746,10890,2645,4350,1827,679,144,29,0
634180,70921,59139,5489,44674,10632,4049,2765,30,0
1625438,542920,97422,40418,137646,112507,39678,19309,41,0
30177,55410,32646,32436,19864,17356,21490,3635,56,1
28143,149160,7390,23831,29065,15330,12252,6688,57,1
545664,22031,1557,25763,25744,15783,8965,1966,64,1
444270,25935,29438,21187,8637,7828,3617,1822,60,1
399364,78633,11078,45560,20075,13548,2862,2138,56,1
1373773,304414,7862,76794,53266,66634,21198,4222,64,1
159610,157862,7150,42632,14137,31688,21944,5205,57,1
556749,156388,7139,28459,55677,27341,5981,4771,61,1
73596,7074,3822,3926,12375,5292,5530,1418,56,1
61819,46613,21396,17077,13225,8293,4156,1421,57,1
553639,20080,4760,11621,5068,5173,1566,477,57,1
3234780,237350,51337,35142,39578,10072,3205,2237,34,0
112881,118585,67145,65652,57889,5229,9800,4138,4,0
97032,13977,7044,1035,2738,955,707,465,3,0
260728,34264,5575,6684,1930,2422,2616,431,11,0
428582,89099,14777,17316,6493,5550,2189,810,11,0
132259,76199,13034,9226,17002,6449,8797,5282,20,0
3289679,458122,159531,94948,29785,273826,70160,29795,41,0
251342,78741,7041,6850,8659,3029,1731,665,37,0
302838,36932,6587,3828,3571,2582,920,228,40,0
1745486,219252,12498,12634,46495,44596,16479,12983,38,0
389815,70568,29647,20600,19458,6809,5210,1676,43,0
37455,48396,37802,63353,14713,6544,5940,2115,40,0
569109,59312,6795,15616,41142,28185,6384,2586,44,0
1394660,750683,78316,287077,100415,207218,44673,19716,56,1
292711,328586,101042,150891,37578,113098,18405,8631,61,1
19090,9687,2831,1235,869,3851,463,691,80,1
1666657,381885,63201,55189,32840,18862,6626,5235,57,1
155909,263859,8276,21394,67369,29079,22292,11438,44,0
739574,77377,53924,5727,7986,7609,1905,615,29,0
480405,129974,51066,24502,23586,6637,1424,1589,27,0
1549805,165259,8794,24834,6520,21014,10647,2798,30,0
297643,301407,105727,49126,40494,15519,20572,13516,21,0
1098563,154152,20248,9518,31182,13249,3680,823,23,0
119306,9826,2169,907,1636,1729,1205,970,37,0
31488,17191,31709,11611,12029,11796,7252,2299,43,0
694318,11958,1544,5237,7915,3527,766,437,61,1
308004,107155,3510,22322,29609,13429,2513,5538,57,1
537349,165437,36467,25636,13325,6359,953,577,41,0
87239,50233,25874,23111,7569,5369,2857,3265,35,0
531494,116891,26739,15005,30957,8019,5743,1886,23,0
198722,109294,22935,15204,23721,3263,2942,3421,10,0
89129,52014,28185,5929,19804,8822,803,758,21,0
1136195,63469,12632,43214,50851,38336,9198,2551,38,0
293390,75951,37570,8915,6653,2565,1294,938,29,0
54379,54266,24155,17509,8196,4729,8125,3162,38,0
56220,27080,12461,17673,7357,6932,2987,2659,38,0
47230,16621,24527,33522,20110,12440,3569,1678,56,1
262573,186834,13760,43965,16315,21755,7365,4743,41,0
584522,63859,2535,3308,15036,4830,2411,2292,44,0
76772,33030,20329,3826,9544,7607,1620,1292,57,1
83562,59462,49015,18508,29145,24115,10917,8216,64,1
91693,25464,4107,5073,2531,1011,362,177,40,0
833694,80514,83606,8653,26500,25374,12214,8089,41,0
1320742,176346,65586,66433,19198,15214,4106,1723,29,0
533004,109151,38893,61807,119262,14733,1516,2125,29,0
159508,9082,6141,17631,5814,4918,2415,498,43,0
243345,65849,24095,15020,13304,5161,2285,944,34,0
677496,137352,21756,32917,24055,16181,8401,3214,40,0
161510,83055,11032,9443,11271,8069,2097,857,40,0
572493,270064,44351,41506,17061,13634,3017,7536,29,0
146012,63760,40577,19191,14241,11217,8700,10316,34,0
163726,49176,15929,8191,1341,3024,1362,759,26,0
166793,14332,6151,2823,1812,1703,327,211,24,0
59429,44791,42471,4691,3064,3640,3273,4369,24,0
73333,85949,61772,13531,17723,9646,4027,1841,23,0
179186,9976,6356,3294,2592,1126,250,130,26,0
70731,13732,2673,11667,17506,9891,6814,3267,40,0
146207,60604,33485,13443,20174,5726,2673,1048,38,0
141095,139005,77770,9181,13713,8689,3148,4041,27,0
97309,16257,5528,7046,6420,1798,1166,976,23,0
518012,15823,5164,4361,5658,6218,547,702,37,0
64963,25797,7008,21339,19917,6625,6045,1383,43,0
204933,73449,21928,29495,17385,17519,1992,810,41,0
1012473,447335,95152,32747,10078,36796,10056,7019,37,0
64988,21137,15339,16342,3233,8718,3084,1017,41,0
724949,409537,88197,11673,38096,13283,10470,2156,43,0
203157,68536,16547,9472,5758,8104,2904,511,37,0
270240,246217,5439,14119,44862,14269,7829,2007,24,0
100122,3750,854,894,540,2134,272,80,38,0
80749,24084,5932,11601,22007,13189,4883,2022,61,1
239156,73510,10342,4731,6632,9855,7144,1002,64,1
240368,47463,45388,6461,18192,10681,2100,324,70,1
128450,190561,2441,8206,28974,16586,5258,3679,41,0
633768,63783,29144,24206,11845,17752,9232,3612,44,0
37121,12417,9787,5468,3817,1693,1660,617,40,0
162766,18685,13357,5210,1193,1528,798,693,35,0
141919,99872,21541,36811,38552,5535,3341,1673,26,0
571401,29466,8307,3099,2975,4847,2563,530,24,0
107799,27590,25378,27082,5840,9342,2593,2409,30,0
550844,110021,37620,13331,15524,8137,5554,1591,35,0
115333,166375,20594,47648,21855,13741,1774,1099,40,0
453068,13669,16397,15145,8126,2994,1551,1064,34,0
168602,201930,5955,9046,15391,2902,5202,1566,11,0
70856,57574,14796,7242,18419,4598,5457,2485,10,0
144513,20777,8134,4969,2029,1707,1344,425,7,0
24127,46229,5727,4243,7362,7246,2791,1863,27,0
22616,20955,30526,7248,8468,6619,2436,1921,38,0
968785,114586,33377,10575,9106,9011,5023,2645,41,0
240535,236335,77732,48161,35345,8509,6139,1473,27,0
68417,23136,21041,10784,9071,11602,4019,2764,30,0
476987,181976,9212,49177,11155,7383,4366,1794,24,0
196566,135198,12927,10822,3758,7665,2878,467,23,0
58714,51796,3467,9846,4266,14619,6859,2096,43,0
34588,28694,15063,15780,7213,4285,2494,2313,35,0
97474,73537,11163,32494,9376,5715,1459,1678,38,0
80310,36490,42216,22527,2990,5017,4693,1824,38,0
386731,127735,27440,51900,7532,6939,2675,2432,20,0
117704,31662,11832,8318,2130,5089,546,562,23,0
20000,15438,37039,11292,1262,8300,5983,1518,34,0
183220,294066,71879,73680,79046,17554,6721,2606,30,0
368550,140486,26960,31797,24804,7003,2563,1884,30,0
473602,61008,11662,25349,17772,6734,1132,564,27,0
63828,50548,3016,17730,9052,12310,4694,1169,30,0
76386,119032,1475,18604,7952,7996,2509,3280,35,0
121437,49213,16996,9813,11837,5202,4014,3804,40,0
307347,215685,116103,27337,63651,15177,8886,4803,35,0
85165,19925,4353,5454,2055,5661,438,2629,37,0
723300,90116,12977,22698,10151,8885,1259,1667,38,0
252501,253178,16158,29196,11259,7035,3592,3463,27,0
101381,34096,10025,5458,10856,4850,1505,852,35,0
204308,36174,1956,9351,6546,4037,1909,1049,27,0
382471,25316,3379,2797,2438,3662,1622,297,34,0
227297,20719,8072,2869,2019,2799,1041,346,44,0
26277,44144,3575,9236,4943,1034,1143,1304,38,0
83832,54095,49857,17606,16095,9207,4624,1606,35,0
157547,26266,9308,1077,1314,6776,726,819,41,0
169802,26734,11607,4949,7341,4980,1175,1509,37,0
2642862,385994,161392,69658,118035,14072,6127,5947,37,0
449548,30550,13005,13572,8927,6749,1103,1328,41,0
103113,74959,27539,14263,12002,4164,2074,2688,26,0
188759,17370,5080,10588,1830,1188,710,367,27,0
66304,20310,21954,10967,3007,2141,1037,657,17,0
574044,31379,41238,40305,15409,8075,5054,3201,24,0
469867,91630,30162,49947,17341,10650,2979,1532,21,0
317148,122583,7461,5274,8301,6594,5628,1414,24,0
104482,91586,50518,31118,21289,10092,4401,1894,26,0
228218,64623,40302,17218,33811,27034,5664,1274,37,0
1229031,25241,24761,14021,3640,8354,2327,736,44,0
153165,54014,34896,51162,19611,9297,5107,1012,56,1
598627,122757,74204,10708,32035,25034,10633,4776,44,0
797009,174782,39565,14197,21955,9160,4142,2067,43,0
200765,21621,3346,9779,5558,1780,1529,1236,38,0
243146,104304,6348,27528,27751,10377,8886,1937,34,0
94721,338198,59588,113937,28378,7863,15005,10961,11,0
120938,64411,61884,66906,62630,28952,2156,1313,24,0
1031313,207492,51269,74671,73805,51185,39587,10859,24,0
144418,130328,14957,37065,34880,23321,9413,6658,34,0
51880,23844,7341,1123,7315,2556,2261,730,34,0
863148,106529,21324,15470,24926,4806,5408,2944,40,0
354057,40450,17696,19827,25225,8052,2352,1368,37,0
94452,121404,59734,70174,43838,23024,3367,4289,34,0
520694,60976,26039,14932,19175,14955,1558,826,40,0
198577,131872,24632,50458,26633,10921,4814,1936,44,0
112186,43470,13546,16130,21830,7756,6091,2315,41,0
354763,735714,44962,45972,184501,45514,10907,6896,34,0
592378,86477,16814,12971,15953,2999,1949,1640,23,0
831935,82434,15217,36014,13324,17245,2612,4344,30,0
156016,33304,6252,877,1357,817,354,213,14,0
14681,11007,3824,7267,5000,10777,4349,1569,35,0
138349,29684,4622,14407,18038,11359,6876,1087,56,1
22167,51087,2175,7383,7690,7501,2817,978,56,1
176094,51409,34954,7347,10548,8910,2149,3536,70,1
210877,131389,58697,27372,15087,21793,2272,207,56,1
316463,240227,43112,16704,11765,15483,6102,1547,56,1
246464,214161,13493,23510,18981,15805,15018,5187,43,0
401110,62850,12254,10401,14712,6486,2770,1943,56,1
123022,29575,4502,36130,25665,23791,3406,1084,61,1
179416,73724,19507,11743,7363,5793,2533,896,40,0
36264,54013,23288,27383,11960,8073,6322,4717,41,0
78181,12110,18062,2338,6577,2106,1229,1346,26,0
108346,23945,8534,11095,11767,7107,5998,1133,40,0
128214,142860,24501,9056,16821,36323,7024,4225,63,1
231923,58437,22581,15833,8259,10277,3538,1572,60,1
148495,202515,30411,23817,6199,8931,4881,4190,41,0
44786,21248,19302,19135,11681,12966,3731,1749,41,0
335916,55786,35555,6874,8967,3067,1325,520,29,0
2439170,74613,45256,16586,17103,18760,19037,8939,37,0
102266,49772,54235,6438,9771,10347,7643,5748,44,0
1291421,144103,18746,8495,10375,5129,3467,1746,27,0
140902,99989,15606,15541,22920,13348,2704,2924,38,0
314995,50336,4284,8965,6094,5203,2472,1466,34,0
129881,53709,4349,2229,2480,2413,1116,1070,24,0
252351,58868,53228,11290,67422,11901,7107,2293,35,0
715000,60544,64517,61406,11989,8634,11717,4733,27,0
260506,22344,4108,3173,6086,1096,267,455,21,0
38213,66948,49830,26355,14357,5968,2145,3232,21,0
935430,281068,44160,20581,31035,20834,10840,1374,17,0
141323,18286,1534,17375,21364,11566,7025,2386,37,0
209245,1518,1451,1224,2082,922,151,61,64,1
84392,16736,13721,20841,36115,6242,5170,4822,56,1
199356,35305,16265,39516,10433,32250,6560,1671,69,1
368129,14631,5730,9956,13213,5514,1140,425,56,1
26449,40130,7169,27819,9984,3209,2550,946,35,0
29386,27242,13139,4020,4403,2461,989,911,43,0
133088,26642,25916,9479,2676,933,2339,557,23,0
475718,127682,109810,42629,15965,9309,2518,1348,8,0
146372,12814,2214,12742,12829,8264,1798,872,27,0
254143,18626,8026,6639,6036,3568,1671,752,34,0
146964,67976,14037,12562,24012,2266,1145,676,38,0
889317,125224,11388,11830,6978,4862,1617,802,37,0
1568108,138790,82909,49336,9940,12536,8165,2846,17,0
15121,23246,4095,29158,12081,5395,3332,1395,17,0
1252519,205315,85379,67610,63462,22573,3252,3712,27,0
667220,595606,132563,15568,4923,15035,13445,4763,23,0
104458,81925,12624,11513,15279,6495,1444,649,26,0
48782,11779,6475,812,1968,2078,493,518,27,0
96672,65440,25654,3376,12380,7337,2045,383,29,0
396931,605048,108667,42380,10044,38371,8112,11268,40,0
391068,12171,3235,574,2045,689,449,157,35,0
188095,130989,34848,38476,18715,10418,1445,1846,27,0
1535577,79768,37917,23797,18897,16863,11583,2974,30,0
325719,124498,22498,19794,28556,19761,17946,4585,61,1
925930,91764,10513,18311,17445,16689,7686,3358,63,1
140145,38551,9446,9566,9578,17333,10262,967,69,1
826835,401878,6109,6149,36115,64369,9555,1035,69,1
86412,22184,10007,8014,19316,3722,555,624,67,1
175461,60837,7374,7320,6750,3772,3718,1607,56,1
352038,6624,9260,1623,2333,2476,748,370,56,1
2015172,50995,43605,16103,111751,34854,17629,5086,64,1
651697,30482,12744,9522,22474,16378,3174,2289,64,1
277722,45645,6373,15712,5255,10635,6381,770,77,1
1971961,1046590,79808,63479,271778,183404,50468,21238,77,1
199847,11215,25476,37893,29502,12001,3345,3162,74,1
1321340,103979,72681,30696,21914,41950,27226,14464,74,1
162256,59875,16150,15243,39786,8986,4381,655,61,1
51816,57519,10322,44668,59636,36985,3596,1388,70,1
574924,1550021,129542,47952,177725,157229,127266,28799,64,1
48051,21670,1636,8986,8324,12493,2275,1287,74,1
267737,70279,18362,19613,14202,12140,3045,2899,75,1
1584155,343653,63844,206273,214646,76950,42362,8605,64,1
121262,41861,19104,4402,6034,5335,2901,1107,64,1
1089027,162118,9103,81334,114493,70282,35616,9263,60,1
1485980,102037,31101,50560,12427,9416,2401,997,56,1
3130159,1008400,90390,1289709,1279263,998179,63909,47538,66,1
39193,17027,9839,2309,9830,3753,3940,755,69,1
368396,68210,9837,7532,24141,16954,12972,826,67,1
34925,24533,20261,8339,5662,6954,5192,1989,77,1
450134,159429,40678,46992,11262,81602,16559,10298,74,1
1281894,100587,47944,12622,21840,17636,11218,3877,74,1
796706,178830,33090,32561,102541,102676,6397,2155,80,1
27001,27028,1680,12274,8247,3479,516,273,75,1
497412,253734,71881,64430,56292,79715,77896,8585,70,1
594967,343778,96710,34543,31513,56919,19941,12176,70,1
877718,715363,76774,64023,98770,80811,18158,9654,56,1
1944713,258399,5773,145283,50075,104341,32096,10927,66,1
409036,25420,2331,3798,13447,7811,6916,3928,67,1
238060,4197,2574,1533,5530,2253,868,743,77,1
1190956,352187,61811,118876,144966,85107,29954,18327,81,1
1171726,212171,54677,80006,59034,67546,34787,16912,80,1
424140,111399,38566,7558,12053,10133,4235,1788,66,1
1371212,714164,96150,446215,330937,339731,108082,130963,66,1
1607343,472499,133588,331149,314266,551891,92500,37796,64,1
2205419,785091,324313,120042,301248,252984,102851,36087,77,1
1217325,46552,73825,42420,41677,51330,13889,3270,78,1
2212431,757987,228315,79779,248961,307316,27712,21563,78,1
919301,29788,18258,8927,16714,7793,3213,534,78,1
1090216,385540,22675,62549,122554,79052,20409,8101,91,1
1307493,693064,117412,323476,121624,274616,37101,13004,83,1
901330,36445,16425,41676,12797,17435,12289,4891,81,1
114543,18569,7064,18146,29610,4397,975,1015,70,1
1902992,427002,215686,52496,142926,80626,32250,20045,67,1
42852,29655,8214,31700,38526,30841,1722,282,69,1
702012,42932,25371,14111,10961,9300,6252,2579,69,1
94817,108659,29545,28988,23864,45853,14454,6531,83,1
1129163,130426,22845,16898,11046,20201,6060,1482,78,1
779173,57771,5834,5034,15201,9388,1650,1041,66,1
760876,391832,90861,246985,338115,114046,22018,27450,67,1
362703,554836,74166,119721,384941,154674,28542,23404,66,1
124987,28189,6579,16864,5550,5138,1530,478,64,1
267834,20412,26189,17901,41853,28424,7121,1108,77,1
610912,55313,37333,29354,9471,20745,15716,8717,77,1
167602,45980,484,21539,26701,22499,1507,597,83,1
94819,223346,19191,75257,90722,41877,2637,3344,83,1
166707,203740,36837,6640,52815,23081,3070,2080,75,1
88712,125299,29354,46697,41288,73729,11790,2682,75,1
192623,216802,9856,18489,117245,48338,20773,4629,80,1
753654,250011,76236,119495,68258,67392,27815,15008,70,1
625699,112416,62994,36821,55062,38990,18153,3990,66,1
396140,182568,35210,60997,78885,66869,12251,6333,66,1
988403,76376,37681,17550,24384,18596,1680,961,70,1
305095,30957,22740,14084,20927,24588,2191,1775,77,1
413346,420338,135059,286220,226868,101491,11210,4717,74,1
1378231,248050,26480,154958,277265,174980,34182,9372,80,1
567265,48823,6591,20128,29776,16301,4020,1032,83,1
892380,138609,184050,63076,68443,58342,7919,2207,75,1
653841,181417,50337,70469,166920,86857,33735,15507,81,1
272736,85598,27169,40851,42575,34442,20860,6376,77,1
700248,67425,17898,120104,89814,72287,43642,7828,81,1
595929,107941,24108,22660,30981,50484,8585,4985,90,1
76629,20509,11526,12030,11281,9939,3091,398,87,1
49568,68004,6009,19411,30214,19015,3566,1152,84,1
760938,40406,39050,35481,32316,29428,9725,1951,81,1
953159,132627,96245,48095,58553,34713,7429,3266,81,1
1226529,424809,163117,203806,332234,380859,45071,14380,84,1
110722,7039,13774,30351,19813,9149,3510,830,84,1
1936608,237353,26997,89216,92288,167072,45631,10011,93,1
485078,74416,6432,7087,11403,23526,8840,693,96,1
2077754,898853,66428,265692,265854,343691,12999,9952,96,1
430611,187654,69798,46233,98797,37292,9493,7502,96,1
73992,58822,15543,29741,75331,45855,12573,6374,96,1
1069996,81662,15886,41482,41567,12377,3697,1610,78,1
3132591,166266,167665,58952,102488,42282,29260,4286,69,1
543579,210007,28773,73365,105895,57608,9731,3697,66,1
205771,19298,6988,6670,21011,12348,3374,1638,69,1
280704,29290,17352,31003,33523,53800,3954,824,69,1
1678359,28382,63962,58601,89854,74602,5496,1176,69,1
1035562,244692,10854,117259,42440,78121,41276,2652,69,1
143508,98329,110880,66203,138388,111178,4417,1715,69,1
535329,16451,15276,20678,28132,29972,14870,8016,69,1
191135,442482,186413,79896,110588,108147,23716,9357,74,1
256342,187214,130236,58689,57770,50946,68637,22221,69,1
1629109,1529666,427068,518765,577073,316604,45753,6063,66,1
387845,278543,83104,312287,188984,240729,22262,7913,66,1
170692,80695,25218,43107,37661,33607,11876,5223,69,1
551302,37357,18794,21984,35158,18314,9036,3590,69,1
1867068,112664,23881,14177,58719,65113,23928,12096,81,1
787586,72007,9067,9705,6526,9828,9304,5301,80,1
417907,57782,52378,49055,62496,29061,17163,5284,80,1
566189,60723,9388,16330,17862,9264,2115,440,80,1
251927,32806,11705,42581,92177,64200,2997,910,88,1
299086,180067,133703,22614,22229,51066,13114,2035,88,1
587435,68195,2342,19005,43755,20067,23642,21035,88,1
371048,139557,99395,158711,145117,119143,6910,1704,90,1
1723425,137688,67514,125900,120153,95203,6590,5344,87,1
1173997,318022,284049,183789,183946,182194,43652,16971,94,1
110276,261685,127332,63028,103041,105679,25496,11501,83,1
445498,207063,77929,165959,139966,62491,26866,6943,75,1
1633096,92117,73536,141415,189913,123563,10360,4125,80,1
711955,86805,43226,23694,92367,64661,20567,7375,84,1
807863,195881,66491,136076,237012,112936,5890,4882,87,1
67026,46616,3048,7197,9329,4210,2061,822,81,1
578193,149518,44599,39039,74106,91417,8685,3403,80,1
223119,150155,39616,48597,120643,74291,21403,6129,78,1
1056799,211425,53364,76392,314805,246270,33017,10614,88,1
31548,21318,13757,31982,16028,16663,2877,677,100,1
200953,43278,17021,21772,31203,17196,1484,329,93,1
317484,420653,113479,146472,207975,243879,47976,10718,94,1
285249,50774,9180,19172,9465,26348,7047,5076,87,1
1446334,74440,54000,103413,173646,169427,31157,7402,96,1
910389,117872,51219,56490,60101,41729,4030,1575,96,1
174386,468089,53626,39765,26775,36163,12376,3560,83,1
771232,131422,148027,279240,322626,289697,64028,4510,87,1
958137,6576,15869,21146,42909,22585,4933,1724,93,1
529314,10689,10258,12538,63247,22452,6858,2309,93,1
1830703,815920,136622,1793631,862673,1260871,541298,130391,93,1
585157,74740,14692,42441,51960,41378,4059,1099,93,1
524323,62064,18851,25223,30932,17527,4599,827,78,1
844098,107586,53760,21627,68515,73217,14193,905,96,1
1114814,231594,64170,91117,47148,56357,12499,7852,84,1
829298,135889,20098,22522,49878,49493,9081,2579,78,1
106997,79240,20345,40241,40440,45554,7023,2875,84,1
498830,143295,198229,58610,195136,110677,23381,7667,81,1
287867,66938,3997,28305,69084,74395,7344,1749,97,1
768152,8616,54997,28270,39136,46817,6136,1251,100,1
613824,569381,209843,329839,321726,374960,51813,10105,100,1
158871,46264,13961,6350,29394,18834,10612,2731,100,1
497460,166048,122294,56967,90346,140039,42374,17356,96,1
37680,14672,1936,18926,15965,10108,1863,443,91,1
469899,32516,27963,19980,3899,6090,3000,936,91,1
357692,115507,60888,34252,35191,22476,15290,5182,78,1
92163,46937,27482,23951,36124,21603,13475,6426,77,1
705888,414677,152610,96522,177582,249647,34049,5585,77,1
121231,21583,8033,13338,21482,5740,2319,1961,77,1
906547,107794,77882,146014,273136,71423,23795,6098,77,1
1142004,150032,40472,83916,21254,99320,9584,4774,77,1
3056668,523533,168769,229651,297012,127851,78616,15215,77,1
115944,63234,27985,19688,49440,77653,8346,3781,77,1
823563,213998,255485,101963,394592,304957,125130,20617,77,1
832853,355763,99077,66544,71877,114404,50413,18049,69,1
714495,370812,175587,267530,204740,186741,29161,14134,67,1
187465,12749,11980,3469,7034,6046,5116,3200,75,1
168262,28011,9144,4025,5752,10191,6945,4745,77,1
54372,52664,4092,2851,13534,15495,3464,2111,78,1
949703,230416,193420,479598,535849,455055,119208,136486,87,1
245050,46399,69415,45345,82053,59990,15528,2567,87,1
418138,30863,11010,21898,94681,19093,12655,5836,90,1
646658,498346,223821,184249,115849,202138,51954,14159,90,1
1376301,405648,127786,36550,54925,87146,9374,1640,90,1
1555044,128961,90160,154468,372565,168345,49077,20077,96,1
73164,33010,9852,17188,4795,5648,3774,1371,96,1
496805,1211004,193259,324163,302636,154479,87470,22002,96,1
132742,42814,51638,40419,33913,15316,8462,1728,87,1
1088423,240570,56595,17232,90840,68088,11965,3206,87,1
163932,129654,77028,86767,42904,63703,7499,1933,78,1
75751,10874,6035,3255,4427,4658,859,467,78,1
1889365,838524,697155,849088,1079236,954625,150199,53742,81,1
863136,249694,170958,77621,141743,80304,68193,6964,81,1
408819,391616,135114,122591,121338,92648,49881,23778,81,1
45301,20630,7688,10973,10648,24194,3887,1433,84,1
558820,135167,116499,86744,60983,23748,13382,2259,83,1
1554703,408283,28076,61775,159266,128511,20458,2187,83,1
105552,19056,9560,6269,7517,9020,1384,843,75,1
319158,177939,311623,79014,369035,256219,74551,28710,78,1
1488207,302577,66657,199690,67581,111370,15903,3618,78,1
282082,19864,8059,46014,54952,23534,4338,1137,75,1
